id,name,description,updated_at
11,"El Gouna Marina","A modern coastal lifestyle destination with marinas, lagoons, and beach clubs.","2026-05-09 18:03:18"
12,"North Coast Beaches","Long white-sand shoreline and resort towns ideal for summer escapes.","2026-05-09 18:03:18"
13,"Mastaba Tombs of Saqqara","Located 40 km southwest of Cairo, Saqqara is one of the most important cemeteries of Memphis, which was itself one of the most important cities in ancient Egyptian history. The name of the site most likely derives from the god of this necropolis, Sokar.

 Saqqara is truly an open-air museum, one that has all of ancient Egyptian history on display. Kings and noblemen from the very first two dynasties (c.3040–2686 BC) were buried here, and this is also the location of the Step Pyramid of Djoser (c.2686–2667 BC).     

The pyramids of some of the most important kings of the Old Kingdom Fifth (c.2494–2345 BC) and Sixth (c.2345–2181 BC) Dynasties are located in Saqqara. One of these, the pyramid of Unas (also known as Wenis; (c.2375–2345 BC), features the oldest pyramid burial chamber decorated with texts. These are the so-called Pyramid Texts, the purpose of which was to protect the deceased king on his journey to the afterlife. In addition to Old Kingdom royal burials, Saqqara is also full of the tombs of the noblemen of this period, which are decorated with scenes and texts of outstanding beauty and craftsmanship.

Saqqara also features tombs from the First Intermediate Period (c.2181–2055 BC), Middle Kingdom (c.2055–1650 BC), and New Kingdom (c.1550–1069 BC). The New Kingdom tombs display an architectural style completely different from their Upper Egyptian counterparts in Thebes. Among them is the tomb of none other than Horemheb (c.1323–1295 BC), the non-royal individual, the general, who became king. He was never buried here however, for, upon ascending the throne, he built a new tomb in the Valley of the Kings worthy of his royal rank.

     Among the most important of Saqqara’s monuments is the Serapeum, a series of underground galleries in which the Apis Bulls were buried from the Eighteenth Dynasty (c.1550–1295 BC) to the Ptolemaic Period (332–30 BC). The Apis Bull was considered an incarnation of Ptah himself, one of the most important gods of Memphis, and as such, there was only ever one Apis Bull at a time. When it died, it was buried with full honors until his successor could be found.

     Egypt’s Coptic era is featured in Saqqara as well through the remains of the Monastery of Apa Jeremiah, which was in use until the eighth century AD. Today, Saqqara is also the site of the Imhotep Museum, in which objects from the site’s immense chronological span are displayed.","2026-05-10 15:13:49"
14,"El-Lisht Pyramid Complex","Lisht  is an Egyptian village located south of Cairo. It is the site of Middle Kingdom royal and elite burials, including two pyramids built by Amenemhat I and Senusret I. The two main pyramids were surrounded by smaller pyramids of members of the royal family, and many mastaba tombs of high officials and their family members. They were constructed throughout the Twelfth and Thirteenth Dynasties. The site is also known for the tomb of Senebtisi, found undisturbed and from which a set of jewelry has been recovered. The pyramid complex of Senusret I is the best preserved from this period. The coffins in the tomb of Sesenebnef present the earliest versions of the Book of the Dead.","2026-05-10 15:16:00"
15,"Saqqara Serapeum","The Serapeum at Saqqara is the tomb of the sacred Apis bulls that were associated with the god Ptah, whose cult center was in Memphis. An avenue of sphinxes leads to the Serapeum, which is composed of two long corridors that once housed the mummified remains of the bulls. The tomb was in use from the time of Amenhotep III in the New Kingdom through to the Ptolemaic Period.

Priests selected certain bulls based on their markings and divine birth. The bulls were treated with a lot of privilege during their life. Upon death, the bulls were mummified and placed in sarcophagi in an elaborate celebration.

Inscriptions record many kings who made offerings in the Serapeum. Two sons of Ramses II, Khaem-waset and Meren-ptah, donated several bulls, jewelry and shabtis as princes and High Priests of Ptah.","2026-05-10 15:17:04"
16,"Mosque of Amr ibn al-As","The mosque of ‘Amr ibn al-‘As is the oldest surviving mosque in Egypt and Africa. General ʿAmr ibn al-ʿAs was one of the first companions of the Prophet Muhammad. After conquering Egypt in 20 AH/640 AD, he founded its first Islamic capital, Fustat, which falls within the modern city of Cairo. A year later, by order of the Caliph ‘Umar ibn al-Khattab, he also founded the eponymous mosque of ‘Amr ibn al-‘As, which thus became the new capital’s very first building.

During the early years following the conquest, the mosque served as a place of gathering for Muslim community and ‘Amr’s troops, which at the time remained a minority in Egypt. Several of the Prophet’s companions assisted in the building’s construction, including al-Zubayr ibn al-‘Awam and Ubada ibn al-Samit.

The structure underwent many architectural changes throughout its lifetime, such that very little of the original survives today. What currently stands in Old Cairo is the mosque’s twentieth century reconstruction. However, it remains true to the modesty of Islamic architecture in its earliest form, evolving from a shed with palm-tree columns to the elegant arcade halls that still house prayers to this day.","2026-05-10 15:18:20"
17,"Historic Fustat Ruins","After the Arab conquest in 21 AH/641 AD, Caliph Umar ibn al-Khattab wanted a new capital for Egypt, refusing Alexandria, the former capital city during the Ptolemaic and Roman Periods. Fustat was founded by general ‘Amr ibn al-‘As, making it  Egypt’s first Islamic capital.

The city’s name is derived from the Arabic word for “tent”, named after the camp set up by the army of ‘Amr ibn al-‘As in the future location of the new capital. Al-Fustat’s very first building was the mosque of Amr ibn al-‘As, which is also known as al-‘Atiq ""the Old Mosque.”

Today, al-Fustat is a part of the Old Cairo District. It is one of the most deep-rooted places in Cairo, as it contains many archaeological sites, such as the Synagogue of Ben E'zra, more than seven old churches, the Mosque of ‘Amr ibn al-‘As, the excavated remains of the old city of al-Fustat, the Nilometer on al-Roda island, the palace of al-Manesterley, and Mohammad Ali Palace in al-Manyal.","2026-05-10 15:20:54"
18,"Al-Azhar Mosque","Al-Azhar Mosque  'The Resplendent Congregational Mosque'), known in Egypt simply as al-Azhar, is a mosque in the historic Islamic core of the city of Cairo, Egypt. Commissioned as the new capital of the Fatimid Caliphate in 970 CE, it was the first mosque established in a city that eventually earned the nickname ""the City of a Thousand Minarets"".[b] Its name is usually thought to derive from az-Zahrāʾ (lit. 'the shining one'), a title given to Fatima, the daughter of Muhammad.

After its dedication in 972, and with the hiring by mosque authorities of 35 scholars in 989, the mosque slowly developed into what it is today.

The affiliated Al-Azhar University is the second oldest continuously run one in the world after Al-Qarawiyyin in Idrisid Fes. It has long been regarded as the foremost institution in the Islamic world for the study of Sunni theology and sharia, or Islamic law. In 1961, the university, integrated within the mosque as part of a mosque school since its inception, was nationalized and officially designated an independent university, Al-Azhar Al-Sharif, following the Egyptian Revolution of 1952.

Over the course of its over a millennium-long history, the mosque has been alternately neglected and highly regarded. Because it was founded as a Shiite Ismaili institution, Saladin and the Sunni Ayyubid dynasty that he founded shunned al-Azhar, removing its status as a congregational mosque and denying stipends to students and teachers at its school. These moves were reversed under the Mamluk Sultanate, under whose rule numerous expansions and renovations took place. Later rulers of Egypt showed differing degrees of deference to the mosque and provided widely varying levels of financial assistance, both to the school and to the upkeep of the mosque. Today, al-Azhar remains a deeply influential institution in Egyptian society that is highly revered in the Sunni Muslim world and a symbol of Islamic Egypt.","2026-05-10 15:24:40"
19,"Sultan Hassan Mosque","The Mosque and Madrasa of Sultan Hasan is one of the largest and architecturally exquisite mosques in all of Egypt. It was commissioned by the Mamluk sultan Hasan ibn al-Nasir Muhammad ibn Qalawun sometime between 757 AH/1356 AD and 764 AH/1362 AD, and is located at the end of Muhammad Ali Street, opposite its nineteenth century neighbor al-Rifa’i mosque in Salah al-Din Square.

The mosque consists of an open courtyard with fountain in its centre. The courtyard is surrounded by four iwans (a rectangular space that is open on one side). Doorways at the four corners of the courtyard allow access into four madrasas, educational institutions, where the four Sunni schools of Islamic jurisprudence were taught. Each consists of a court and iwan, in addition to the rooms of the students and annexed service units. The mosque has two minarets built in the Mamluk style. 

          Its proximity to the citadel ultimately resulted in its use as a fort by enemies several times throughout its history, as it was used as a platform to launch attacks on the citadel.

          Like most Islamic monuments in Cairo, this one has also undergone several phases of reconstruction, up until the twentieth century. The mosque and madrasa are distinguished with the ornate domes, stone and plaster carved decorations, as well as the marble works of the mihrab.","2026-05-10 15:25:29"
20,"Muhammad Ali Mosque","The Mosque of Muhammad Ali is located inside the Citadel of Salah al-Din al-Ayyubi (Saladin) in Cairo. It was built by Muhammad Ali Pasha in 1265 AH\ 1848 AD on the site of Mamluk palaces. This mosque is known as the ""Alabaster Mosque"", in reference to its marble paneling on its interior and exterior walls. The mosque’s twin minarets are the highest in all of Egypt, each reaching a height of 84 meters.

The mosque was built on the Turkish style that consists of an open court and prayer hall. The prayer hall is a square space that surmounted with a large central dome which surrounded by four semi-domes and four shallow domes in the corners. There are two minbars (pulpits) inside the mosque. The original of the two is made of wood decorated in green. The other was a later addition made of marble. ​  

The outer open court contains a copper clock tower, which was gifted to Muhammad Ali Pasha by Louis Philippe of France in 1262 AH/1845 AD. Muhammad Ali Pasha reciprocated the gesture with an obelisk of Ramesses II’s (c.1279–1213 BC) that stood in front of Luxor Temple. Today, it stands in the Place de la Concorde Square, Paris.

Limestone is the mosque’s main building material. Its square plan consists of a central dome supported by four half.","2026-05-10 15:28:01"
21,"Saint Sergius and Bacchus Church","The Church of Saint Sergius and Bacchus, also known as Abu Serga, is built upon an ancient Roman fort in Old Cairo. The history of the church is still being debated. Some scholars believe that it dates to the late fourth to early fifth centuries AD, while others believe that it should approximately be dated to 17th century AD.

         This church has acquired a special religious status among Coptic churches because it is associated with the Holy Family's journey through Egypt. It is named after renowned early fourth century AD saints, Sergius and Bacchus, both of whom were martyred at al-Resafa in Syria for their Christian beliefs.

          Like various other early Christian churches, the Church of Abu Serga and its underground cave are designed in the basilica layout, and thus together consist of three parts: the narthex, nave, and sanctuary (the cave being below the sanctuary). The church is characterized by its unique architectural and artistic elements that reflect the spirit of Coptic church architecture in Egypt. These include the pulpit, baptismal font, inlaid ivory and wood templon, and unique religious decoration of the saints and apostles decorating the various domes, walls and columns.","2026-05-10 15:29:06"
22,"Babylon Fortress","Babylon Fortress is an ancient Roman fortress on the eastern bank of the Nile Delta, located in the area known today as Old Cairo or Coptic Cairo. The fortress was built circa 300 AD by Emperor Diocletian in order to protect the entrance to an ancient canal, previously rebuilt by Trajan, that linked the Nile with the Red Sea.

It was at the boundary between Lower and Middle Egypt, where the river craft paid tolls when ascending or descending the Nile. Within the fortress's former enclosure are the present-day Coptic Museum, a convent, and several churches, including the Church of St. George and the Hanging Church.","2026-05-10 15:30:37"
23,"Monastery of Saint Paul","The Monastery of Saint Paul the Anchorite dates to the fourth century AD. It was founded over the cave where Paul lived for more than eighty years. The first travel narrative of the monastery was provided by Antoninus Martyr, a native of Placentia, who visited the tomb of Paul the Anchorite between the years 560 and 570 AD. The first monks to occupy the monastery were some of the disciples of Anthony the Great after they knew the story of Paul the Anchorite it might have been occupied by Melkites for a short period, but they were followed by Egyptian again and Syrian monks. The Syrians may have had a sustained existence at the monastery, for it appears that they also occupied the monastery during the first half of the fifteenth century, after which their presence disappeared. According to an isolated Ethiopian reference, the 70th Coptic Orthodox Pope, Gabriel II (1131–45 AD), was banished to the monastery of Saint Paul the Anchorite for three years.

Like most of Egypt's monasteries, this one suffered repeatedly at the hands of Bedouin tribes. The most destructive of their raids was in 1484 AD, when many of the monastery's monks were killed and the library was put to the torch. The monastery was later rebuilt under the patronage of Pope Gabriel VII of Alexandria (1526–69 AD), who sent ten monks from the Syrian Monastery to populate the monastery of Saint Paul the Anchorite. During the second half of the sixteenth century, the monastery was again attacked and ransacked twice by the Bedouins, forcing the monks to finally leave. The monastery remained deserted for the following 119 years, only to be repopulated by a group of monks from the Monastery of Saint Anthony under the patronage of Pope John XVI of Alexandria (1676–1718 AD), who promoted an extensive reconstruction of the monastery in 1701 AD.","2026-05-10 15:33:14"
24,"Coptic Museum","The Coptic Museum houses the largest collection of Coptic artifacts in the world and was inaugurated in 1910. The museum was established through the efforts of Marcus Simaika Pasha, a prominent Coptic figure who was vested in the preservation of Coptic heritage. Simaika Pasha bought and collected Coptic antiquities and various architectural elements from older churches that were undergoing renovation, and used them to built the museum and establish its collection.

The collection represents Coptic history from its earliest beginnings in Egypt through to its rise as a leading center of Christianity in the world. Coptic Christianity traces its origins to a visit by Saint Mark in the city of Alexandria in the 1st Century A.D. The artifacts on display in the museum show the merge of Coptic art with the prevailing cultures including Pharaonic, Greek, Roman, Byzantine and Ottoman, and its evolution in developing its own character and identity.

Magnificently decorated manuscripts, icons, delicately carved woodwork and elaborate frescos with religious scenes recovered from ancient monasteries and churches are among its extensive collection.","2026-05-10 15:34:11"
25,"Pompey's Pillar","Pompey's Pillar Alexandria
is a Roman triumphal column in the city of Alexandria, Egypt. It is the largest of its type. In fact, it constructed outside of the imperial capitals of Rome and Constantinople. Pompey’s Pillar Alexandria is the only which known free-standing column in Roman Egypt. Moreover, it not composed of drums. It indeed is one of the largest ancient monoliths. Moreover, it is also one of the largest monolithic columns which ever erected. The monolithic column shaft measures 20.46 m in height with a diameter of 2.71 m at its base. The weight of the single piece of red Aswan granite estimated at 285 ton. Pompey’s Pillar Alexandria is 26.85 m high including its base and capital . Other authors give slightly deviating dimensions. It dates back to the time of Pompey. The Corinthian column actually built in 297 AC. It commemorate the victory of Roman emperor Diocletian over an Alexandrian revolt. The Emperor Diocletian erected this memorial column. Pompey’s Pillar Alexandria erected in honor of the Roman Emperor, as a sign of gratitude. A serious revolt in the city took place. Diocletian came himself, ordering the city to besieged. After 8 months of resistance, the city finally surrendered. As a result of the siege, there was famine in the city. The Emperor ordered that a part of the corn, which sent to Rome, given to the people of Alexandria. He exempted them from paying taxes during these hard times. For that they erected, in his honor the Pompey’s Pillar Alexandria .


Further details about Pompey’s Pillar Alexandria : Crusaders believed, that ashes of the great Pompey were in a pot at the top of the column. It was in the middle ages the. In fact, it was a mistake. Thus today it called “Pompey’s Pillar”. Around the commemorative Column of Diocletian there are some monuments that can seen. On the backside, there is the remains of a Serapium, or a temple of the God Serapis. It now damaged. In fact, it built during the reigns of Ptolemy II and Ptolemy III. It damaged due to the revolts of the Jewish population in Alexandria. In fact, it was during the reign of the Emperor Trajan (89-118 A.C). Moreover, it rebuilt again during the reign of Hadrian (117-137 AC). It likely destroyed, once more, after the appearance of Christianity. Furthermore, it consisted of a high platform accessed by a staircase of 100 steps . At the side of the platform there was a basin, which used for purification. There were 2 galleries at the back of the temple. In fact, they completely cut into the rock. In the 1st gallery a black statue of basalt, dates back to the reign of Hadrian discovered. It represents the God Serapis, in a shape of a bull. It now exhibited in the Graeco – Roman Museum in Alexandria. The second gallery known mistakenly as the Daughter Library. It seems that it was an Anubidiun, or a burial for the mummies of Anubis. It considered until the a reign of Ptolemy IV, a member of the Pantheon of Alexandria.","2026-05-10 15:36:05"
